day,cell,techrep,biorep,well,order
0,nm,1,4,B2,2
20,nm,1,4,B3,3
40,nm,1,4,B4,4
60,nm,1,4,B5,5
100,nm,1,4,B6,6
140,nm,1,4,B7,7
200,nm,1,4,B8,8
240,nm,1,4,B9,9
280,nm,1,4,B10,10
1000,jcvi,1,4,B11,11
0,nm,2,4,C2,12
20,nm,2,4,C3,13
40,nm,2,4,C4,14
60,nm,2,4,C5,15
100,nm,2,4,C6,16
140,nm,2,4,C7,17
200,nm,2,4,C8,18
240,nm,2,4,C9,19
280,nm,2,4,C10,20
1000,jcvi,2,4,C11,21
0,nm,3,4,D2,22
20,nm,3,4,D3,23
40,nm,3,4,D4,24
60,nm,3,4,D5,25
100,nm,3,4,D6,26
140,nm,3,4,D7,27
200,nm,3,4,D8,28
240,nm,3,4,D9,29
280,nm,3,4,D10,30
1000,jcvi,3,4,D11,31
10,nm,1,4,E2,32
30,nm,1,4,E3,33
50,nm,1,4,E4,34
80,nm,1,4,E5,35
120,nm,1,4,E6,36
160,nm,1,4,E7,37
220,nm,1,4,E8,38
260,nm,1,4,E9,39
300,nm,1,4,E10,40
10,nm,2,4,F2,41
30,nm,2,4,F3,42
50,nm,2,4,F4,43
80,nm,2,4,F5,44
120,nm,2,4,F6,45
160,nm,2,4,F7,46
220,nm,2,4,F8,47
260,nm,2,4,F9,48
300,nm,2,4,F10,49
10,nm,3,4,G2,50
30,nm,3,4,G3,51
50,nm,3,4,G4,52
80,nm,3,4,G5,53
120,nm,3,4,G6,54
160,nm,3,4,G7,55
220,nm,3,4,G8,56
260,nm,3,4,G9,57
300,nm,3,4,G10,58
