day,cell,techrep,biorep,well,order
0,m,1,7,B2,2
20,m,1,7,B3,3
40,m,1,7,B4,4
60,m,1,7,B5,5
100,m,1,7,B6,6
140,m,1,7,B7,7
200,m,1,7,B8,8
240,m,1,7,B9,9
280,m,1,7,B10,10
1000,jcvi,1,7,B11,11
0,m,2,7,C2,12
20,m,2,7,C3,13
40,m,2,7,C4,14
60,m,2,7,C5,15
100,m,2,7,C6,16
140,m,2,7,C7,17
200,m,2,7,C8,18
240,m,2,7,C9,19
280,m,2,7,C10,20
1000,jcvi,2,7,C11,21
0,m,3,7,D2,22
20,m,3,7,D3,23
40,m,3,7,D4,24
60,m,3,7,D5,25
100,m,3,7,D6,26
140,m,3,7,D7,27
200,m,3,7,D8,28
240,m,3,7,D9,29
280,m,3,7,D10,30
1000,jcvi,3,7,D11,31
10,m,1,7,E2,32
30,m,1,7,E3,33
50,m,1,7,E4,34
80,m,1,7,E5,35
120,m,1,7,E6,36
160,m,1,7,E7,37
220,m,1,7,E8,38
260,m,1,7,E9,39
300,m,1,7,E10,40
10,m,2,7,F2,41
30,m,2,7,F3,42
50,m,2,7,F4,43
80,m,2,7,F5,44
120,m,2,7,F6,45
160,m,2,7,F7,46
220,m,2,7,F8,47
260,m,2,7,F9,48
300,m,2,7,F10,49
10,m,3,7,G2,50
30,m,3,7,G3,51
50,m,3,7,G4,52
80,m,3,7,G5,53
120,m,3,7,G6,54
160,m,3,7,G7,55
220,m,3,7,G8,56
260,m,3,7,G9,57
300,m,3,7,G10,58
